1.0984	3.6079	0	0
3.6079	5.6656	0	0
5.6656	7.7719	0	0
7.7719	10.142	0	0
10.142	12.27	0	0
12.27	14.508	0	0
14.508	16.308	0	0
16.308	18.185	0	0
18.185	20.167	0	0
20.167	22.266	0	0
22.266	24.004	0	0
24.004	26.152	0	0
26.152	27.98	0	0
27.98	30.26	0	0
30.26	33.131	0	0
33.131	35.606	0	0
35.606	37.65	0	0
37.65	39.77	0	0
39.77	45.151	0	0
45.151	48.967	0	0
48.967	52.784	0	0
52.784	56.037	0	0
56.037	59.36	0	0
59.36	62.425	0	0
62.425	64.615	0	0
64.615	66.388	0	0
66.388	67.931	0	0
67.931	69.683	0	0
69.683	74.021	0	0
74.021	77.191	0	0
77.191	80.527	0	0
80.527	84.365	0	0
84.365	86.2	0	0
