2.8917	5.6855	0	0
5.6855	8.0663	0	0
8.0663	10.643	0	0
10.643	12.86	0	0
12.86	15.295	0	0
15.295	17.861	0	0
17.861	20.492	0	0
20.492	22.786	0	0
22.786	25.155	0	0
25.155	27.471	0	0
27.471	29.852	0	0
29.852	32.015	0	0
32.015	35.863	0	0
35.863	38.288	0	0
38.288	40.984	0	0
40.984	42.766	1	0
42.766	44.875	1	0
44.875	46.495	1	0
46.495	48.213	1	0
48.213	50.072	0	0
50.072	52.126	1	0
52.126	53.713	1	0
53.713	55.594	1	0
55.594	57.333	1	0
57.333	58.964	1	0
58.964	60.671	1	0
60.671	62.236	1	0
62.236	63.943	1	0
63.943	65.519	1	0
65.519	67.4	1	0
